A
Abe 阿部。安部。安倍。阿倍。  
Abei 安倍井。  
Abigo 安孙子。  
Abigo 安孙子。安彦。吾孙子。  
Abiru 安蒜。阿比留。  
Abo 安保。阿保。  
Abumiya 镫家。  
Aburai 油井。  
Aburatani 油谷。  
Aburaya 油谷。  
Acha 阿茶。  
Adachi 足立。安达。安立。足达。阿达。  
Adegawa 阿出川。  
Aeba 飨庭。  
Afuso 安富祖。  
Agata 县。悬。  
Agatainukai 县犬养。  
Agatsuma 我妻。  
Agawa 阿川。  
Ageishi 上石。  
Agemaki 总角。  
Agoin 安居院。  
Agune 阿具根。  
Ai 安居。阿井。  
Aiba 相场。飨庭。相羽。相叶。相庭。飨场。  
Aibara 栗饭原。  
Aichi 爱知。  
Aida 会田。相田。间。  
Aihara 相原。栗饭原。蓝原。  
Aiiso 相叽。  
Aijima 相岛。  
Aikiwa 相川。  
Aiko 爱甲。  
Aimi 相见。  
Aino 爱野。  
Aioi 相生。  
Aita 合田。  
Aiyama 相山。  
Aizawa 相泽。会泽。蓝泽。逢泽。爱泽。合泽。  
Aizu 爱洲。会津。  
Ajiki 安食。  
Ajima 安岛。  
Ajioka 味冈。  
Ajiro 网代。足代。  
Aka 丹。  
Akabane 赤羽。  
Akabashi 赤桥。  
Akabori 赤堀。  
Akaboshi 赤星。  
Akada 赤田。  
Akagaki 赤垣。  
Akagawa 赤川。  
Akagi 赤木。赤城。  
Akahane 赤羽根。  
Akahashi 赤桥。  
Akahira 赤平。  
Akahito 赤人。  
Akaho 赤穗。  
Akahoshi 赤星。  
Akai 赤井。  
Akaike 赤池。  
Akaishi 赤石。  
Akaiwa 赤岩。  
Akakabe 赤壁。  
Akaki 赤木。  
Akama 赤间。  
Akamatsu 赤松。  
Akamine 赤岭。  
Akamoto 赤元。  
Akane 赤根。  
Akanuma 赤沼。  
Akao 赤尾。  
Akaogi 赤荻。  
Akaoka 赤冈。赤兀。  
Akasaka 赤阪。  
Akasaki 赤崎。  
Akase 赤濑。  
Akashi 明石。赤司。  
Akashiro 赤城。  
Akashita 丹下。  
Akaso 赤楚。  
Akasu 赤须。  
Akatsu 赤津。  
Akatsuka 赤冢。  
Akawa 阿川。  
Akayama 赤山。  
Akazaki 赤崎。  
Akazawa 赤泽。  
Akazome 赤染。  
Akechi 明智。  
Akegarasu 晓乌。  
Akera 朱乐。  
Aketa 明田。  
Aki 安芸。阿木。  
Akiba 秋叶。秋庭。秋场。  
Akida 秋田。  
Akiho 秋保。  
Akima 秋间。  
Akimoto 秋元。秋本。  
Akinaga 秋永。  
Akiniwa 秋庭。  
Akino 秋野。  
Akioka 秋冈。  
Akira 秋良。  
Akisada 秋定。  
Akita 秋田。明田。  
Akitani 秋谷。  
Akitomi 秋富。  
Akiya 秋谷。  
Akiyama 秋山。  
Akiyoshi 秋吉。  
Akizawa 秋泽。  
Akizuki 秋月。  
Ako 阿江。  
Akune 阿久根。  
Akutagawa 芥川。阿久刀川。  
Akutsu 阿久津。  
Akuzawa 阿久泽。  
Amaake 天明。  
Amada 天田。  
Amagai 天谷。  
Amaha 天羽。  
Amai 天井。  
Amaike 天池。  
Amakasa 天笠。  
Amakasu 甘粕。甘糟。  
Amakawa 天川。  
Amaki 天木。  
Amako 尼子。  
Amakuni 天国。  
Amakusa 天草。  
Amamiya 雨宫。天宫。  
Amamori 雨森。  
Amano 天野。  
Amanoya 天野屋。  
Amanuma 天沼。  
Amari 甘利。  
Amatani 天谷。  
Amatsu 天津。  
Amaumi 天海。  
Amaya 天谷。  
Ame 饴。  
Amemiya 雨宫。  
Amemori 雨森。  
Amenomiya 雨宫。  
Amenomori 雨森。  
Ami 安见。  
Amikura 网仓。  
Amimoto 网本。  
Aminaka 网中。  
Amino 网野。  
Amishima 网岛。  
Amishiro 网代。  
Amitani 网谷。  
Amiya 网谷。网屋。  
Amo 天羽。  
Anabuki 穴吹。  
Anada 穴田。  
Anahara 穴原。  
Anaho 穴太。  
Anahobe 穴穗部。  
Anai 穴井。  
Anami 阿南。  
Anayama 穴山。  
Anazawa 穴泽。  
Anbe 安部。  
Andachi 安达。  
Ando 安藤。安东。  
Anegawa 姉川
Anenokoji 姉小路。  
Anesaki 姉崎。  
Anezaki 姉崎。  
Anjo 安生。  
Ankai 安海。  
Annaka 安中。  
Annen 安念。安南。  
Anno 阿武。案纳。  
Ano 阿野。  
Anpo 安保。  
Anpoku 安福。  
Anraku 安乐。  
Antaku 安宅。  
Anzai 安西。安斋。  
